lga_name,year,offence_count
BANYULE,2025,11496.0
BRIMBANK,2025,18798.0
DAREBIN,2025,17322.0
HOBSONS BAY,2025,7870.0
HUME,2025,23441.0
MARIBYRNONG,2025,12466.0
MELBOURNE,2025,46695.0
MELTON,2025,16851.0
MERRI-BEK,2025,14671.0
MOONEE VALLEY,2025,10329.0
NILLUMBIK,2025,2353.0
WHITTLESEA,2025,18378.0
WYNDHAM,2025,24450.0
YARRA,2025,15763.0
ALPINE,2025,555.0
BASS COAST,2025,3822.0
BAW BAW,2025,5193.0
BENALLA,2025,1556.0
BOROONDARA,2025,9964.0
EAST GIPPSLAND,2025,6497.0
GREATER SHEPPARTON,2025,10548.0
INDIGO,2025,598.0
KNOX,2025,10537.0
LATROBE,2025,14172.0
MANNINGHAM,2025,5053.0
MANSFIELD,2025,402.0
MAROONDAH,2025,9033.0
MITCHELL,2025,5591.0
MOIRA,2025,2751.0
MONASH,2025,15092.0
MURRINDINDI,2025,885.0
SOUTH GIPPSLAND,2025,2633.0
STRATHBOGIE,2025,672.0
TOWONG,2025,210.0
WANGARATTA,2025,2889.0
WELLINGTON,2025,5680.0
WHITEHORSE,2025,11844.0
WODONGA,2025,4260.0
YARRA RANGES,2025,8307.0
BAYSIDE,2025,5554.0
CARDINIA,2025,9665.0
CASEY,2025,31012.0
FRANKSTON,2025,17293.0
GLEN EIRA,2025,7715.0
GREATER DANDENONG,2025,22184.0
KINGSTON,2025,12282.0
MORNINGTON PENINSULA,2025,12194.0
PORT PHILLIP,2025,15872.0
STONNINGTON,2025,13842.0
ARARAT,2025,1566.0
BALLARAT,2025,14481.0
BULOKE,2025,287.0
CAMPASPE,2025,3914.0
CENTRAL GOLDFIELDS,2025,1441.0
COLAC-OTWAY,2025,1934.0
CORANGAMITE,2025,992.0
GANNAWARRA,2025,862.0
GLENELG,2025,2489.0
GOLDEN PLAINS,2025,803.0
GREATER BENDIGO,2025,12282.0
GREATER GEELONG,2025,25574.0
HEPBURN,2025,806.0
HINDMARSH,2025,367.0
HORSHAM,2025,2646.0
LODDON,2025,517.0
MACEDON RANGES,2025,2620.0
MILDURA,2025,8180.0
MOORABOOL,2025,3502.0
MOUNT ALEXANDER,2025,1458.0
MOYNE,2025,724.0
NORTHERN GRAMPIANS,2025,1584.0
PYRENEES,2025,528.0
QUEENSCLIFFE,2025,76.0
SOUTHERN GRAMPIANS,2025,1267.0
SURF COAST,2025,1277.0
SWAN HILL,2025,2322.0
WARRNAMBOOL,2025,3662.0
WEST WIMMERA,2025,180.0
YARRIAMBIACK,2025,507.0
BANYULE,2024,10171.0
BRIMBANK,2024,18524.0
DAREBIN,2024,17669.0
HOBSONS BAY,2024,7458.0
HUME,2024,21981.0
MARIBYRNONG,2024,11771.0
MELBOURNE,2024,42746.0
MELTON,2024,15212.0
MERRI-BEK,2024,15297.0
MOONEE VALLEY,2024,9888.0
NILLUMBIK,2024,2282.0
WHITTLESEA,2024,17051.0
WYNDHAM,2024,23051.0
YARRA,2024,15034.0
ALPINE,2024,414.0
BASS COAST,2024,3420.0
BAW BAW,2024,5845.0
BENALLA,2024,1930.0
BOROONDARA,2024,8804.0
EAST GIPPSLAND,2024,5743.0
GREATER SHEPPARTON,2024,10195.0
INDIGO,2024,662.0
KNOX,2024,11606.0
LATROBE,2024,13353.0
MANNINGHAM,2024,5492.0
MANSFIELD,2024,471.0
MAROONDAH,2024,8642.0
MITCHELL,2024,5705.0
MOIRA,2024,2661.0
MONASH,2024,14965.0
MURRINDINDI,2024,640.0
SOUTH GIPPSLAND,2024,2247.0
STRATHBOGIE,2024,776.0
TOWONG,2024,242.0
WANGARATTA,2024,2861.0
WELLINGTON,2024,5483.0
WHITEHORSE,2024,10902.0
WODONGA,2024,4823.0
YARRA RANGES,2024,7892.0
BAYSIDE,2024,5586.0
CARDINIA,2024,8988.0
CASEY,2024,27251.0
FRANKSTON,2024,17386.0
GLEN EIRA,2024,8236.0
GREATER DANDENONG,2024,20930.0
KINGSTON,2024,12616.0
MORNINGTON PENINSULA,2024,12726.0
PORT PHILLIP,2024,14690.0
STONNINGTON,2024,12939.0
ARARAT,2024,1607.0
BALLARAT,2024,13481.0
BULOKE,2024,362.0
CAMPASPE,2024,4345.0
CENTRAL GOLDFIELDS,2024,1750.0
COLAC-OTWAY,2024,1956.0
CORANGAMITE,2024,894.0
GANNAWARRA,2024,893.0
GLENELG,2024,2084.0
GOLDEN PLAINS,2024,775.0
GREATER BENDIGO,2024,12972.0
GREATER GEELONG,2024,25061.0
HEPBURN,2024,807.0
HINDMARSH,2024,308.0
HORSHAM,2024,2444.0
LODDON,2024,502.0
MACEDON RANGES,2024,2587.0
MILDURA,2024,8590.0
MOORABOOL,2024,2590.0
MOUNT ALEXANDER,2024,1265.0
MOYNE,2024,718.0
NORTHERN GRAMPIANS,2024,1270.0
PYRENEES,2024,471.0
QUEENSCLIFFE,2024,87.0
SOUTHERN GRAMPIANS,2024,1700.0
SURF COAST,2024,1290.0
SWAN HILL,2024,2034.0
WARRNAMBOOL,2024,3640.0
WEST WIMMERA,2024,233.0
YARRIAMBIACK,2024,661.0
BANYULE,2023,8063.0
BRIMBANK,2023,17038.0
DAREBIN,2023,13680.0
HOBSONS BAY,2023,5713.0
HUME,2023,18312.0
MARIBYRNONG,2023,9734.0
MELBOURNE,2023,37719.0
MELTON,2023,12762.0
MERRI-BEK,2023,12749.0
MOONEE VALLEY,2023,8040.0
