lga_name,year,median_rent,offence_count,independent_schools,total_schools,gp_clinics_per_1000,allied_health_per_1000,dental_sites_per_1000,pharmacies_per_1000,acsc_per_1000,address,suburb,latitude,longitude,straight_line_km,driving_km
ALPINE,1999,120,,,11,0.3,1.3,0.2,0.2,29.2,,,,,,
ALPINE,1999,125,,,11,0.3,1.3,0.2,0.2,29.2,,,,,,
ALPINE,1999,120,,,11,0.3,1.3,0.2,0.2,29.2,,,,,,
ALPINE,2000,128,,,11,0.3,1.3,0.2,0.2,29.2,,,,,,
ALPINE,2000,135,,,11,0.3,1.3,0.2,0.2,29.2,,,,,,
ALPINE,2000,128,,,11,0.3,1.3,0.2,0.2,29.2,,,,,,
ALPINE,2000,130,,,11,0.3,1.3,0.2,0.2,29.2,,,,,,
ALPINE,2001,125,,,11,0.3,1.3,0.2,0.2,29.2,,,,,,
ALPINE,2001,130,,,11,0.3,1.3,0.2,0.2,29.2,,,,,,
ALPINE,2001,135,,,11,0.3,1.3,0.2,0.2,29.2,,,,,,
ALPINE,2001,130,,,11,0.3,1.3,0.2,0.2,29.2,,,,,,
ALPINE,2002,130,,,11,0.3,1.3,0.2,0.2,29.2,,,,,,
ALPINE,2002,130,,,11,0.3,1.3,0.2,0.2,29.2,,,,,,
ALPINE,2002,135,,,11,0.3,1.3,0.2,0.2,29.2,,,,,,
ALPINE,2002,140,,,11,0.3,1.3,0.2,0.2,29.2,,,,,,
ALPINE,2003,143,,,11,0.3,1.3,0.2,0.2,29.2,,,,,,
ALPINE,2003,135,,,11,0.3,1.3,0.2,0.2,29.2,,,,,,
ALPINE,2003,143,,,11,0.3,1.3,0.2,0.2,29.2,,,,,,
ALPINE,2003,145,,,11,0.3,1.3,0.2,0.2,29.2,,,,,,
ALPINE,2004,150,,,11,0.3,1.3,0.2,0.2,29.2,,,,,,
ALPINE,2004,150,,,11,0.3,1.3,0.2,0.2,29.2,,,,,,
ALPINE,2004,160,,,11,0.3,1.3,0.2,0.2,29.2,,,,,,
ALPINE,2004,147,,,11,0.3,1.3,0.2,0.2,29.2,,,,,,
ALPINE,2005,160,,,11,0.3,1.3,0.2,0.2,29.2,,,,,,
ALPINE,2005,160,,,11,0.3,1.3,0.2,0.2,29.2,,,,,,
ALPINE,2005,170,,,11,0.3,1.3,0.2,0.2,29.2,,,,,,
ALPINE,2005,166,,,11,0.3,1.3,0.2,0.2,29.2,,,,,,
ALPINE,2006,165,,,11,0.3,1.3,0.2,0.2,29.2,,,,,,
ALPINE,2006,175,,,11,0.3,1.3,0.2,0.2,29.2,,,,,,
ALPINE,2006,180,,,11,0.3,1.3,0.2,0.2,29.2,,,,,,
ALPINE,2006,180,,,11,0.3,1.3,0.2,0.2,29.2,,,,,,
ALPINE,2007,190,,,11,0.3,1.3,0.2,0.2,29.2,,,,,,
ALPINE,2007,190,,,11,0.3,1.3,0.2,0.2,29.2,,,,,,
ALPINE,2007,188,,,11,0.3,1.3,0.2,0.2,29.2,,,,,,
ALPINE,2007,185,,,11,0.3,1.3,0.2,0.2,29.2,,,,,,
ALPINE,2008,190,,,11,0.3,1.3,0.2,0.2,29.2,,,,,,
ALPINE,2008,190,,,11,0.3,1.3,0.2,0.2,29.2,,,,,,
ALPINE,2008,200,,,11,0.3,1.3,0.2,0.2,29.2,,,,,,
ALPINE,2008,200,,,11,0.3,1.3,0.2,0.2,29.2,,,,,,
ALPINE,2009,200,,,11,0.3,1.3,0.2,0.2,29.2,,,,,,
ALPINE,2009,200,,,11,0.3,1.3,0.2,0.2,29.2,,,,,,
ALPINE,2009,200,,,11,0.3,1.3,0.2,0.2,29.2,,,,,,
ALPINE,2009,200,,,11,0.3,1.3,0.2,0.2,29.2,,,,,,
ALPINE,2010,210,,,11,0.3,1.3,0.2,0.2,29.2,,,,,,
ALPINE,2010,210,,,11,0.3,1.3,0.2,0.2,29.2,,,,,,
ALPINE,2010,200,,,11,0.3,1.3,0.2,0.2,29.2,,,,,,
ALPINE,2010,190,,,11,0.3,1.3,0.2,0.2,29.2,,,,,,
ALPINE,2011,230,,,11,0.3,1.3,0.2,0.2,29.2,,,,,,
ALPINE,2011,220,,,11,0.3,1.3,0.2,0.2,29.2,,,,,,
ALPINE,2011,220,,,11,0.3,1.3,0.2,0.2,29.2,,,,,,
ALPINE,2011,223,,,11,0.3,1.3,0.2,0.2,29.2,,,,,,
ALPINE,2012,210,,,11,0.3,1.3,0.2,0.2,29.2,,,,,,
ALPINE,2012,220,,,11,0.3,1.3,0.2,0.2,29.2,,,,,,
ALPINE,2012,240,,,11,0.3,1.3,0.2,0.2,29.2,,,,,,
ALPINE,2012,228,,,11,0.3,1.3,0.2,0.2,29.2,,,,,,
ALPINE,2013,250,,,11,0.3,1.3,0.2,0.2,29.2,,,,,,
ALPINE,2013,225,,,11,0.3,1.3,0.2,0.2,29.2,,,,,,
ALPINE,2013,230,,,11,0.3,1.3,0.2,0.2,29.2,,,,,,
