lga_name,year,median_rent
COLAC-OTWAY,1999,115.0
CORANGAMITE,1999,93.0
GLENELG,1999,110.0
GREATER GEELONG,1999,135.0
MOYNE,1999,130.0
QUEENSCLIFFE,1999,135.0
SOUTHERN GRAMPIANS,1999,110.0
SURF COAST,1999,145.0
WARRNAMBOOL,1999,130.0
ARARAT,1999,110.0
BALLARAT,1999,130.0
GOLDEN PLAINS,1999,140.0
HEPBURN,1999,130.0
HINDMARSH,1999,93.0
HORSHAM,1999,115.0
MOORABOOL,1999,145.0
NORTHERN GRAMPIANS,1999,105.0
PYRENEES,1999,115.0
WEST WIMMERA,1999,77.0
YARRIAMBIACK,1999,80.0
BULOKE,1999,85.0
CAMPASPE,1999,135.0
CENTRAL GOLDFIELDS,1999,110.0
GANNAWARRA,1999,100.0
GREATER BENDIGO,1999,135.0
LODDON,1999,85.0
MACEDON RANGES,1999,140.0
MILDURA,1999,130.0
MOUNT ALEXANDER,1999,120.0
SWAN HILL,1999,130.0
ALPINE,1999,120.0
BENALLA,1999,120.0
GREATER SHEPPARTON,1999,135.0
INDIGO,1999,128.0
MANSFIELD,1999,130.0
MITCHELL,1999,128.0
MOIRA,1999,125.0
MURRINDINDI,1999,123.0
STRATHBOGIE,1999,110.0
TOWONG,1999,120.0
WANGARATTA,1999,125.0
WODONGA,1999,140.0
BASS COAST,1999,111.0
BAW BAW,1999,125.0
EAST GIPPSLAND,1999,120.0
LATROBE,1999,110.0
SOUTH GIPPSLAND,1999,110.0
WELLINGTON,1999,115.0
BANYULE,1999,180.0
BRIMBANK,1999,150.0
DAREBIN,1999,150.0
HOBSONS BAY,1999,165.0
HUME,1999,165.0
MARIBYRNONG,1999,140.0
MELBOURNE,1999,270.0
MELTON,1999,150.0
MERRI-BEK,1999,155.0
MOONEE VALLEY,1999,170.0
NILLUMBIK,1999,200.0
WHITTLESEA,1999,165.0
WYNDHAM,1999,160.0
YARRA,1999,225.0
BOROONDARA,1999,220.0
KNOX,1999,180.0
MANNINGHAM,1999,215.0
MAROONDAH,1999,160.0
MONASH,1999,190.0
WHITEHORSE,1999,185.0
YARRA RANGES,1999,155.0
BAYSIDE,1999,250.0
CARDINIA,1999,155.0
CASEY,1999,160.0
FRANKSTON,1999,150.0
GLEN EIRA,1999,180.0
GREATER DANDENONG,1999,140.0
KINGSTON,1999,165.0
MORNINGTON PENINSULA,1999,140.0
PORT PHILLIP,1999,205.0
STONNINGTON,1999,200.0
COLAC-OTWAY,1999,113.0
CORANGAMITE,1999,90.0
GLENELG,1999,100.0
GREATER GEELONG,1999,135.0
MOYNE,1999,120.0
QUEENSCLIFFE,1999,160.0
SOUTHERN GRAMPIANS,1999,105.0
SURF COAST,1999,150.0
WARRNAMBOOL,1999,130.0
ARARAT,1999,100.0
BALLARAT,1999,130.0
GOLDEN PLAINS,1999,135.0
HEPBURN,1999,130.0
HINDMARSH,1999,85.0
HORSHAM,1999,115.0
MOORABOOL,1999,148.0
NORTHERN GRAMPIANS,1999,110.0
PYRENEES,1999,120.0
WEST WIMMERA,1999,90.0
YARRIAMBIACK,1999,80.0
BULOKE,1999,90.0
CAMPASPE,1999,140.0
CENTRAL GOLDFIELDS,1999,110.0
GANNAWARRA,1999,100.0
GREATER BENDIGO,1999,135.0
LODDON,1999,85.0
MACEDON RANGES,1999,150.0
MILDURA,1999,140.0
MOUNT ALEXANDER,1999,130.0
SWAN HILL,1999,130.0
ALPINE,1999,125.0
BENALLA,1999,123.0
GREATER SHEPPARTON,1999,140.0
INDIGO,1999,130.0
MANSFIELD,1999,125.0
MITCHELL,1999,130.0
MOIRA,1999,125.0
MURRINDINDI,1999,115.0
STRATHBOGIE,1999,103.0
TOWONG,1999,100.0
WANGARATTA,1999,125.0
WODONGA,1999,140.0
BASS COAST,1999,110.0
BAW BAW,1999,130.0
EAST GIPPSLAND,1999,118.0
LATROBE,1999,110.0
SOUTH GIPPSLAND,1999,110.0
WELLINGTON,1999,110.0
BANYULE,1999,180.0
BRIMBANK,1999,155.0
DAREBIN,1999,155.0
HOBSONS BAY,1999,170.0
HUME,1999,170.0
MARIBYRNONG,1999,145.0
MELBOURNE,1999,270.0
MELTON,1999,150.0
MERRI-BEK,1999,160.0
MOONEE VALLEY,1999,175.0
