lga_name,independent_schools,total_schools
ALPINE,,11.0
ARARAT,,12.0
BALLARAT,4.0,48.0
BANYULE,3.0,42.0
BASS COAST,3.0,15.0
BAW BAW,3.0,37.0
BAYSIDE,4.0,27.0
BENALLA,2.0,7.0
BOROONDARA,18.0,57.0
BRIMBANK,2.0,59.0
BULOKE,,9.0
CAMPASPE,0.0,23.0
CARDINIA,4.0,41.0
CASEY,12.0,96.0
CENTRAL GOLDFIELDS,1.0,8.0
COLAC-OTWAY,,17.0
CORANGAMITE,,14.0
DAREBIN,5.0,44.0
EAST GIPPSLAND,2.0,33.0
FRANKSTON,3.0,42.0
GANNAWARRA,1.0,11.0
GLEN EIRA,10.0,35.0
GLENELG,2.0,18.0
GOLDEN PLAINS,,13.0
GREATER BENDIGO,4.0,52.0
GREATER DANDENONG,6.0,42.0
GREATER GEELONG,8.0,85.0
GREATER SHEPPARTON,4.0,39.0
HEPBURN,1.0,13.0
HINDMARSH,2.0,8.0
HOBSONS BAY,2.0,29.0
HORSHAM,1.0,8.0
HUME,7.0,72.0
INDIGO,1.0,17.0
KINGSTON,4.0,45.0
KNOX,6.0,49.0
LATROBE,0.0,34.0
LODDON,,8.0
MACEDON RANGES,3.0,27.0
MANNINGHAM,1.0,31.0
MANSFIELD,2.0,7.0
MARIBYRNONG,1.0,22.0
MAROONDAH,6.0,33.0
MELBOURNE,9.0,25.0
MELTON,6.0,47.0
MERRI-BEK,4.0,45.0
MILDURA,3.0,31.0
MITCHELL,,17.0
MOIRA,1.0,20.0
MONASH,4.0,54.0
MOONEE VALLEY,2.0,36.0
MOORABOOL,1.0,18.0
MORNINGTON PENINSULA,5.0,49.0
MOUNT ALEXANDER,2.0,15.0
MOYNE,,12.0
MURRINDINDI,,14.0
NILLUMBIK,3.0,27.0
NORTHERN GRAMPIANS,,13.0
PORT PHILLIP,3.0,21.0
PYRENEES,,9.0
QUEENSCLIFFE,,3.0
SOUTH GIPPSLAND,2.0,23.0
SOUTHERN GRAMPIANS,3.0,18.0
STONNINGTON,6.0,24.0
STRATHBOGIE,,8.0
SURF COAST,1.0,13.0
SWAN HILL,1.0,14.0
TOWONG,,10.0
WANGARATTA,1.0,23.0
WARRNAMBOOL,1.0,15.0
WELLINGTON,1.0,33.0
WEST WIMMERA,,5.0
WHITEHORSE,6.0,49.0
WHITTLESEA,5.0,61.0
WODONGA,3.0,16.0
WYNDHAM,6.0,71.0
YARRA,4.0,28.0
YARRA RANGES,11.0,78.0
YARRIAMBIACK,,12.0
